source,target,context,path
A Sales Invoice already exists for this batch.,توجد فاتورة مبيعات بالفعل لهذه الدفعة.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/api.py
Add,إضافة,field:add_section.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Agreed Quantity,الكمية المتفق عليها,field:agreed_quantity.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
All unloading receipts for this contract have been billed.,لقد تم إصدار فواتير لجميع إيصالات التفريغ لهذا العقد.,code:frappe\.msgprint\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/sales_billing_batch/sales_billing_batch.js
Amended From,معدّل من,field:amended_from.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Area,منطقة,DocType,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/area/area.json
Cancelled,ملغي,field:status.option,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Cannot cancel this batch while the Sales Invoice exists and is not cancelled/returned.,لا يمكن إلغاء هذه الدفعة طالما أن فاتورة المبيعات موجودة ولم تُلغ أو تُسترجع.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/sales_billing_batch/sales_billing_batch.py
Cannot create a delivery order with a quantity greater than the remaining quantity of the download command.,لا يمكن إنشاء أمر تسليم بكمية أكبر من الكمية المتبقية في أمر التنزيل.,code:_\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/api.py
Cannot create a download command with a quantity greater than the contract's remaining download quantity.,لا يمكن إنشاء أمر تنزيل بكمية أكبر من الكمية المتبقية للتنزيل في العقد.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/api.py
Cannot create/modify a download command for an inactive contract.,لا يمكن إنشاء/تعديل أمر تنزيل لعقد غير نشط.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/download_command/download_command.py
"Cannot modify a contract that is Closed, Cancelled, or Finished.",لا يمكن تعديل عقد حالته مغلق أو ملغي أو منتهٍ.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/api.py
Cannot unload a quantity greater than the remaining quantity on the delivery order.,لا يمكن تفريغ كمية أكبر من الكمية المتبقية في أمر التسليم.,code:_\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/api.py
Close Contract,إغلاق العقد,code:_\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.js
Close Download Command,إغلاق أمر التنزيل,code:_\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/download_command/download_command.js
Closed,مغلق,field:status.option,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Company,الشركة,field:company.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Completed,مكتمل,field:status.option,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Connections,الاتصالات,field:connections_tab.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Contract Details,تفاصيل العقد,field:contract_details_section.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Contract is not active; cannot create/modify a Delivery Order.,العقد غير نشط؛ لا يمكن إنشاء/تعديل أمر التسليم.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/delivery_order/delivery_order.py
Contract is not active; cannot create/modify an Unloading Receipt.,العقد غير نشط؛ لا يمكن إنشاء/تعديل إيصال التفريغ.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/unloading_receipt/unloading_receipt.py
Contract is required.,يجب أن يكون هناك عقد.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/api.py
Contract of Carriage,عقد النقل,DocType,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Cost Account,حساب التكلفة,field:cost_account.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/trackpro_setting/trackpro_setting.json
Cost Center,مركز التكلفة,field:cost_center.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Count Unbilled Unloading,سندات التفريغ غير المفوتره,field:count_unbilled_unloading.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/sales_billing_batch/sales_billing_batch.json
Customer,العميل,field:customer.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/contract_of_carriage/contract_of_carriage.json
Delivered Quantity,الكمية المستلمه,field:delivered_quantity.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/unbilled_unloading/unbilled_unloading.json
Delivery Order,أمر التسليم,DocType,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/delivery_order/delivery_order.json
Delivery Order areas must match the Download Command areas.,يجب أن تتطابق مناطق أمر التسليم مع مناطق أمر التنزيل.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/delivery_order/delivery_order.py
Difference Percentage,نسبة الفرق,field:difference_percentage.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/unloading_receipt/unloading_receipt.json
Difference Quantity,كمية الفرق,field:difference_quantity.label,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/unloading_receipt/unloading_receipt.json
Download command,أمر التنزيل,DocType,/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/doctype/delivery_order/delivery_order.json
Download command end date cannot be after the contract end date.,أمر التنزيل تاريخ النهاية لا يمكن أن يكون  بعد تاريخ نهاية العقد.,code:frappe\.throw\(\s*["\'](.+?)["\']\s*\),/mnt/data/trackpro_extracted/trackpro/trackpro/trackpro/api.py
